date,open,high,low,close,volume
2023-09-15,3133.588,3141.964,3107.448,3117.743,29202636500
2023-09-18,3110.44,3128.701,3098.496,3125.932,25944425700
2023-09-19,3123.986,3131.13,3113.525,3124.957,25365276100
2023-09-20,3118.667,3122.128,3108.158,3108.568,22812446200
2023-09-21,3103.175,3113.494,3084.701,3084.701,22865910000
2023-09-22,3084.757,3132.558,3078.801,3132.432,28597835100
2023-09-25,3131.208,3131.208,3112.151,3115.607,25807188500
2023-09-26,3114.021,3120.289,3102.273,3102.273,22264431300
2023-09-27,3104.04,3125.447,3103.844,3107.316,24049583000
2023-09-28,3117.755,3121.835,3105.94,3110.475,23632998100
2023-10-09,3100.0,3103.36,3072.642,3096.922,26442220500
2023-10-10,3104.365,3109.982,3073.186,3075.236,25532737900
2023-10-11,3085.699,3095.659,3071.936,3078.956,25991869200
2023-10-12,3101.705,3109.99,3092.177,3107.901,27482799800
2023-10-13,3091.997,3094.915,3080.548,3088.099,25508523500
2023-10-16,3091.065,3091.126,3063.686,3073.813,26388236300
2023-10-17,3076.428,3084.073,3064.89,3083.496,25901958800
2023-10-18,3076.58,3076.58,3057.059,3058.71,26864715500
2023-10-19,3043.196,3043.196,3004.775,3005.393,30403891000
2023-10-20,2995.358,3006.275,2977.173,2983.059,26711359400
2023-10-23,2969.786,2973.661,2923.511,2939.291,27890412800
2023-10-24,2944.311,2964.761,2929.088,2962.244,31098538900
2023-10-25,2986.407,2993.295,2972.418,2974.114,33239200400
2023-10-26,2960.104,2990.328,2956.006,2988.299,29181451100
2023-10-27,2978.403,3029.21,2974.88,3017.784,32180371700
2023-10-30,3009.61,3028.264,3002.348,3021.553,36060423800
2023-10-31,3019.646,3023.001,3006.609,3018.771,31985996700
2023-11-01,3038.182,3038.33,3013.933,3023.077,28011044500
2023-11-02,3028.665,3038.642,3009.121,3009.406,26879458100
2023-11-03,3012.465,3040.981,3012.465,3030.798,26848634700
2023-11-06,3047.13,3058.989,3037.694,3058.411,37294963000
2023-11-07,3052.92,3064.577,3042.469,3057.27,32685345500
2023-11-08,3051.153,3062.991,3037.289,3052.373,33567783400
2023-11-09,3047.653,3063.467,3045.834,3053.279,31562176400
2023-11-10,3043.559,3044.001,3027.088,3038.97,28554649700
2023-11-13,3044.032,3048.621,3028.168,3046.533,29043058800
2023-11-14,3046.817,3059.529,3044.426,3056.07,29484473300
2023-11-15,3077.029,3080.128,3064.346,3072.835,30425010700
2023-11-16,3066.855,3071.452,3050.926,3050.926,27107946000
2023-11-17,3043.617,3055.856,3033.747,3054.366,26760639300
2023-11-20,3056.927,3072.513,3043.515,3068.319,28755699800
2023-11-21,3074.828,3089.774,3063.345,3067.933,33073310200
2023-11-22,3060.498,3067.963,3043.611,3043.611,28905649000
